Año,Album,Artista,Streams,Generos,Valoracion,aoty,soty
2003,Get Rich Or Die Tryin',50 Cent,5015462958,Hip Hop/Rap,0,0
2003,Meteora,Linkin Park,4857430359,Rock,0,0
2003,Fallen,Evanescence,2573148885,Rock,0,0
2003,Dangerously In Love,Beyoncé,2464362757,R&B/Soul;Pop,0,0
2003,Speakerboxxx/The Love Below,Outkast,2211349865,Hip Hop/Rap;Otros,1,0
2004,Hot Fuss,The Killers,4060162609,Otros;Rock,0,0
2004,Encore,Eminem,3386228369,Hip Hop/Rap,0,0
2004,Confessions,Usher,3299536656,R&B/Soul,0,0
2004,American Idiot,Green Day,2758705949,Pop;Rock,0,0
2004,Hopes And Fears,Keane,2566351836,Otros;Rock,0,0
2005,Demon Days,Gorillaz,2948130686,Pop;Hip Hop/Rap;Rock;R&B/Soul,0,0
2005,In Between Dreams,Jack Johnson,2803420126,Pop;Otros;Rock,0,0
2005,X&Y,Coldplay,2527392067,Rock,0,0
2005,Late Registration,Kanye West,2491103690,Hip Hop/Rap;Otros,0,0
2005,The Massacre,50 Cent,2378962508,Hip Hop/Rap,0,0
2006,Back To Black,Amy Winehouse,4261114016,R&B/Soul,0,0
2006,The Black Parade / Living With Ghosts,My Chemical Romance,3806924926,Rock,0,0
2006,Stadium Arcadium,Red Hot Chili Peppers,2989597344,Rock,0,0
2006,Loose,Nelly Furtado,2953534601,R&B/Soul;Hip Hop/Rap;Pop;Otros,0,0
2006,Konvicted,Akon,2417997343,R&B/Soul;Hip Hop/Rap;Pop;Otros,0,0
2007,Graduation,Kanye West,6355810973,Hip Hop/Rap,0,0
2007,Good Girl Gone,Bad Rihanna,5570160652,R&B/Soul;Pop;Otros,0,0
2007,Favourite Worst Nightmare,Arctic Monkeys,4075391033,Rock,0,0
2007,Minutes To Midnight,Linkin Park,2733270633,Rock,0,0
2007,Oracular Spectacular,MGMT,2313245470,Rock,0,0
2008,The Fame / The Fame Monster,Lady Gaga,7029921065,Pop;Otros;R&B/Soul,0,0
2008,I Am...Sasha Fierce,Beyoncé,3935537492,R&B/Soul;Pop;Otros,0,1
2008,Only By The Night,Kings of Leon,3212467798,Pop;Rock,0,0
2008,Viva La Vida Or Death And All His Friends,Coldplay,3191610805,Pop;Rock;R&B/Soul,0,1
2008,We Sing. We Dance. We Steal Things.,Jason Mraz,2963479787,R&B/Soul;Pop;Otros;Rock,0,0
2009,One More Love,David Guetta,3288304738,Otros,0,0
2009,The E.N.D. (The Energy Never Dies),Black Eyed Peas,3087011081,Pop;Hip Hop/Rap,0,0
2009,Man On The Moon: The End Of Day,Kid Cudi,3007076499,Hip Hop/Rap;Otros,0,0
2009,The Time Of Our Lives,Miley Cyrus,2898815286,Pop,0,0
2009,Lungs,Florence + The Machine,2636288380,Pop;Hip Hop/Rap;Rock;R&B/Soul,0,0
2010,Doo-Wops & Hooligans,Bruno Mars,8836895099,Pop;Otros,0,0
2010,Teenage Dream,Katy Perry,7426655469,Pop;Otros,0,0
2010,Recovery,Eminem,4699656635,Hip Hop/Rap,0,0
2010,My Beautiful Dark Twisted Fantasy,Kanye West,4287368290,Hip Hop/Rap,0,0
2010,Loud,Rihanna,4188312373,R&B/Soul;Pop,0,0
2011,21,Adele,7493158989,Pop;Otros;R&B/Soul,1,0
2011,Take Care,Drake,5248985573,R&B/Soul;Hip Hop/Rap,0,0
2011,Nothing But The Beat,David Guetta,4945525074,Pop;Otros,0,0
2011,Christmas,Michael BublÃ©,4292450846,Otros,0,0
2011,Plus (+),Ed Sheeran,3995037918,Pop;Rock,0,0
2012,Born To Die,Lana Del Rey,8289318753,Pop;Rock,0,0
2012,Night Visions,Imagine Dragons,7474237617,Pop;Rock,0,0
2012,Unorthodox Jukebox,Bruno Mars,6485788863,R&B/Soul;Pop;Otros,0,0
2012,Good Kid M.A.A.D. City,Kendrick Lamar,5765676787,Hip Hop/Rap,0,0
2012,Overexposed,Maroon 5,5616595718,Pop;Rock,0,0
2013,AM,Arctic Monkeys,10206282905,R&B/Soul;Pop;Rock,0,0
2013,Midnight Memories,One Direction,4872924425,Pop,0,0
2013,I Love You.,The Neighbourhood,4866221444,Rock,0,0
2013,True,Avicii,4564715759,Otros,0,0
2013,Pure Heroine,Lorde,4327682098,Pop;Rock,0,1
2014,Multiply (x),Ed Sheeran,10966001277,Pop;R&B/Soul,0,1
2014,In The Lonely Hour,Sam Smith,10361486253,R&B/Soul;Pop;Otros;Rock,0,0
2014,1989,Taylor Swift,8491505731,Pop,1,0
2014,My Everything,Ariana Grande,6861604115,R&B/Soul;Pop,0,0
2014,Hozier,Hozier,6478917901,R&B/Soul;Otros;Rock,0,0
2015,Purpose,Justin Bieber,10557976750,Pop;Otros;R&B/Soul,0,0
2015,Beauty Behind The Madness,The Weeknd,9772778063,R&B/Soul;Otros,0,0
2015,Blurryface,Twenty One Pilots,7462148539,Pop;Otros;Rock,0,0
2015,25,Adele,7051872305,Pop;Rock,1,1
2015,Hamilton,Lin-Manuel Miranda & Various Artists,6819967165,R&B/Soul;Pop;Otros,0,0
2016,Starboy,The Weeknd,15152427933,R&B/Soul;Hip Hop/Rap;Pop;Otros,0,0
2016,Views,Drake,10011741047,R&B/Soul;Hip Hop/Rap,0,0
2016,Stoney,Post Malone,9241536498,R&B/Soul;Hip Hop/Rap,0,0
2016,Anti,Rihanna,7460170379,Pop;Hip Hop/Rap;Rock,0,0
2016,Illuminate,Shawn Mendes,7295387804,R&B/Soul;Pop,0,0
2017,Divide (%),Ed Sheeran,15323020727,Pop,0,0
2017,Dua Lipa,Dua Lipa,12852757647,Pop;Otros,0,0
2017,Don't Smile At Me,Billie Eilish,9970505546,Pop;Rock,0,0
2017,17,XXXTentacion,8929152487,Otros;Rock,0,0
2017,Damn.,Kendrick Lamar,8621977772,Hip Hop/Rap,0,0
2018,Beerbongs & Bentleys,Post Malone,12046850283,R&B/Soul;Hip Hop/Rap,0,0
2018,?,XXXTentacion,11188440264,Hip Hop/Rap,0,0
2018,Scorpion,Drake,10375008655,R&B/Soul;Hip Hop/Rap,0,0
2018,Goodbye & Good Riddance,Juice WRLD,9450330122,Hip Hop/Rap,0,0
2018,Astroworld,Travis Scott,9434301979,Hip Hop/Rap;Otros,0,0
2019,Hollywood's Bleeding,Post Malone,13278726012,R&B/Soul;Hip Hop/Rap; Pop,0,0
2019,When We All Fall Asleep Where Do We Go?,Billie Eilish,11498199337,Pop,1,1
2019,Lover,Taylor Swift,11341908986,Pop,0,0
2019,Fine Line,Harry Styles,9716691468,Pop;Rock,0,0
2019,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,9106944832,Pop;Rock,0,0
2020,After Hours,The Weeknd,13072041994,R&B/Soul;Rock,0,0
2020,Future Nostalgia,Dua Lipa,12864136126,Pop;Otros;R&B/Soul,0,0
2020,YHLQMDLG,Bad Bunny,10217500867,Pop;Latino/Regueton;Hip Hop/Rap;Otros,0,0
2020,Folklore,Taylor Swift,8793733474,Pop;Rock,1,0
2020,Shoot For The Stars Aim For The Moon,Pop Smoke,8057010293,R&B/Soul;Hip Hop/Rap;Otros,0,0
2021,Sour,Olivia Rodrigo,13299987680,Pop;Rock,0,0
2021,Justice,Justin Bieber,8490045825,Pop,0,0
2021,Planet Her,Doja Cat,8132042435,Pop;Otros;R&B/Soul,0,0
2021,Equals (=),Ed Sheeran,6087040101,Pop,0,0
2021,Montero,Lil Nas X,5912252786,Pop;Hip Hop/Rap;Otros;Rock,0,0
2022,Un Verano Sin Ti,Bad Bunny,17671530034,Pop;Latino/Regueton;Otros;Rock,0,0
2022,Midnights,Taylor Swift,9723433449,Pop,1,0
2022,SOS,SZA,9168843798,R&B/Soul,0,0
2022,Harry's House,Harry Styles,8338027632,Pop,1,0
2022,Heroes & Villains,Metro Boomin,5512600611,Hip Hop/Rap,0,0
2023,Mañana Será Bonito,Karol G,6417254621,Pop;Latin/Reguetón,0,0
2023,One Thing At A Time,Morgan Wallen,5867198629,Otros,0,0
2023,Génesis,Peso Pluma,5029393185,Otros,0,0
2023,Utopia,Travis Scott,4739308898,Pop;Otros,0,0
2023,Nadie Sabe Lo Que Va A Pasar Mañana,Bad Bunny,4452620829,Latinoo/Reguetón;Hip Hop/Rap;Otros,0,0
